City,State,2009,2010,2011,2012,2013,2014,2015,2016,2017
Abbeville, LA,74522270.5,78569569.94,79605779.57,79479524.04,81714083.66,79045318.67,76746088.35,72182135.4,65135724.58
Abbeville, SC,59497050.04,59668564.93,59493230.16,60164872.84,63911891.41,62003739.56,61129759.27,57642884.68,51837350.12
Abbotsford, WI,51948710.34,48391059.58,40029871.61,36894061.62,36057131.87,35942326.12,34956497.47,33866913.96,30647399.2
Aberdeen, MS,85256736.9,88364173.92,86734380.63,86415648.78,88099227.57,87045046.2,86725196.84,86539593.1,84140940.91
Aberdeen, SD,120004274.5,132787794.3,138600425.8,142532798.9,139636416.1,137309116.9,131661967.2,128202140.6,117695843.3
Aberdeen, WA,47552117.56,49282932.23,52178415.63,57984784.8,62623406.39,66630800.86,68342904.73,67923770,65289131.01
Aberdeen--Bel Air South--Bel Air North, MD,1463645570,1491223416,1436115951,1424485698,1385541357,1433469750,1449912820,1460960837,1455267628
Abernathy, TX,113903782.7,113936895.7,113612333.1,116064422.9,119884131.4,127105423.5,129462181.2,127674529.6,118164056.2
Abilene, KS,82719740.37,84152281.15,81614675.75,82352314.48,83906272.12,82708138.64,79632454.09,76262436.14,67261596.64
Abilene, TX,653730409.8,679602963.9,684809079.3,676490122.3,664402256.8,669052177.7,660664345,660744270.5,639909898.7
Abingdon, IL,4312533.403,5788611.585,8013866.14,9942578.438,11615791.56,11941369.13,11372753.38,9973681.378,7982176.718
Ada, OH,5402875.369,5356249.631,5111157.974,5396889.215,5820059.554,6550792.593,7014965.425,7371434.609,7287295.36
Ada, OK,107701407.9,110699161.7,111754442.2,115162417,115187827.5,119974994.9,121740441.5,124769076.4,118929885.3
Adams, NY,50233057.21,54664981.15,58948622.83,60204188.88,60595255.67,58971645.59,56454114.11,54322756.98,48895534.53
Adel, GA,189146708.4,189466647,188677115.9,190594167.6,202462070,214665137.8,234001962.8,259093637.9,296901149.8
Adel, IA,12774040.21,14753983.08,15917047.75,17580709.75,19589898.32,21343628.82,22801410.8,23592805.25,23333090.89
Adjuntas, PR,0,0,0,0,0,0,0,0,0
Adrian, MI,162403952.2,162207483,159242935.3,162020111.6,165418152,162526121.2,157271568.7,150188308.6,138788769.1
Aguadilla--Isabela--San Sebastián, PR,0,0,0,0,0,0,0,0,0
Ahoskie, NC,6667197.334,7855796.725,8765056.515,8746107.865,8726205.823,8659195.771,8313862.287,7669235.769,6547900.053
Air Force Academy, CO,87423368.47,76381902.96,65552769.1,61977866.49,60164935.02,57996357.55,55132237.32,51885305.56,45517232.3
Ajo, AZ,144750098.1,139308215.5,130563027,141138313.8,151800686.7,154283477.9,151399109.2,142849413.8,128470681.3
Akron, NY,59197289.49,60228066.6,60713935.2,63082728.92,65464277,64535298.48,61530294.02,56618844.61,46391843.97
Akron, OH,2453793339,2490351576,2484952846,2518782400,2489534189,2590826149,2614440860,2723605179,2761223294
Alachua, FL,209339706.8,222321113.5,240467542,254703073.5,261621407,263991026.1,252867445.4,233173474,203291571.8
Alamogordo, NM,162400715.2,156765532.3,154552671,159786610.4,160947345,156420800.1,148715955.7,143607636,131113275.2
Alamosa, CO,76425479.25,80383720.42,83169816,86511700.2,88905506.62,87724274.98,83048722.51,76678843.45,64582350.62
Albany, GA,494467243.6,527422853.1,565300437.8,571950373.9,577507256.2,549640688.5,513299529.7,464019042.3,406772453.2
Albany, MN,75879635.29,83025559.01,90301047.81,95994972.26,98864297.9,99219401.46,97701367.56,97206943.09,91256243.89
Albany, OR,528919982.3,544220609.7,545387740.6,555310743.2,556247348.4,565468465.9,568729084.7,584495161.5,561679896.1
Albany--Schenectady, NY,3070681181,3145108747,3110780356,3040286782,2999458260,3005887473,3092103482,3360480849,3536729709
Albemarle, NC,147106342.7,143751956.4,137666060.7,132095353.2,131594774.5,132031408.9,130954629.5,126475889.9,115553524.3
Albert Lea, MN,136594033.5,143593694.5,151647310.9,161053837.5,169163165.5,173811494.5,176314863.5,180496125.7,175704045.1
Albertville, AL,237571991.8,242351665.4,237386834.5,234403988.6,248279750,240373616.3,241017294.1,234731728.8,227096489.8
Albia, IA,35111317.89,33778922.98,32854161.95,31535321.35,30977647.22,30565144.5,30429836.45,30709919.3,31007422.75
Albion, MI,108022311.9,110013024,110146231.5,112673145.8,115711898.4,115819355.9,115403848.9,115813184.5,115446100.2
Albion, NY,20129295.63,18645213.52,17678636.33,17240551.76,16732969.33,15481381.09,14012960.88,12538698.67,10212473.74
Albion, PA,36011722.68,33768096.36,30232017.74,29357363.08,28799386.25,28993928.88,28834071.83,28396701.36,26848427.98
