City,Sum of kgco2_2010,Sum of kgco2_2011,Sum of kgco2_2012,Sum of kgco2_2013,Sum of kgco2_2014,Sum of kgco2_2015,Sum of kgco2_2016,Sum of kgco2_2017,State
Washington,1702528463,1636862265,1640230199,1554983425,1655583418,1673520077,1715586131,1774668063,DC
Aurora,1730065820,1638184040,1600044212,1597571957,1627873820,1688354012,1846353101,1988537009,CO
Colorado Springs,1688351299,1626024325,1619460804,1644231961,1699541266,1784494520,1965523169,2114217338,CO
Denver,4316772115,4103658776,3984918015,3957706492,4053231007,4267448475,4800837817,5374324044,CO
Anaheim,1968257403,1889818163,1822749651,1754110706,1799574775,1840286579,1953378855,2020090158,CA
Bakersfield,1840179069,1996163397,2111498919,2182006147,2290217582,2286686988,2228718348,2025823879,CA
Chula Vista,1094605977,1046893013,1027930313,1019152517,1086090553,1158047856,1281273509,1384845956,CA
Fremont,1721957177,1904104679,2030024527,2071589531,2062751204,1952535752,1852660536,1691639867,CA
Fresno,1845156619,1770077363,1690500668,1601136256,1612218600,1616259575,1685875952,1722043588,CA
Irvine,2672767042,2616574057,2538260432,2444980281,2498641466,2542427042,2686812406,2762747453,CA
Long Beach,2427902880,2248073469,2130903696,2054117100,2174255294,2318759716,2582370848,2829552670,CA
Los Angeles,16331951397,14977908599,14134373917,13611901985,14462552207,15494493136,17328293122,19078754895,CA
Oakland,1934034519,2204686850,2376052252,2439654354,2435632915,2309263678,2198881925,2021646757,CA
Riverside,1115827663,1091884473,1069872208,1062197363,1162442001,1270527828,1432956897,1581749567,CA
Sacramento,3721866328,3835997843,3849590442,3805633348,3922005129,3952580325,4052701638,3999871043,CA
San Diego,6485452078,6278367990,6195823402,6159867891,6571974633,7021045924,7794846637,8460054469,CA
San Francisco,1651615568,1891192925,2021994342,2050335585,2000598548,1831492002,1646016970,1386835203,CA
San Jose,4447437434,4665437645,4783932530,4732428057,4650414012,4404450797,4218830155,3855132063,CA
Santa Ana,1859311574,1840357393,1793516315,1731233458,1767617395,1794534434,1890279229,1934024052,CA
Stockton,1225384962,1250230511,1261040226,1262531840,1332863887,1382600798,1465704618,1509168674,CA
Chandler,1110000973,1098659585,1132250812,1175566600,1226325927,1285850835,1374009362,1474392437,AZ
Gilbert town,488324690.4,479839549.4,498076788,520088170.4,540625325.5,560718076.4,586294667.1,609779251.6,AZ
Glendale,744664255.9,735984644.8,766091889.6,804860174.3,846831952.7,893874427.1,958017296,1028093052,AZ
Mesa,2384973755,2350810429,2427833657,2537045604,2667734412,2823589734,3046257660,3301018122,AZ
Phoenix,7802804859,7772033160,7589138178,7396677971,7444988394,7722395770,8544018686,9839819537,AZ
Scottsdale,745242234.5,720381568.8,716111971.4,716647315.3,724913279.5,737758287.8,767692677.6,804375031.7,AZ
Tucson,2277475038,2262164332,2258597682,2250174066,2264403837,2286862400,2366475534,2464133522,AZ
Hialeah,1074061237,1048081438,1030512350,1010588603,1031679782,1055432675,1112825836,1187533204,FL
Jacksonville,5187835876,5166724006,5141724254,5099054480,5254349907,5417128852,5768428407,6261711623,FL
Miami,2337443183,2270437763,2230540380,2197245424,2276057970,2388236685,2613814242,2914167319,FL
Orlando,2483213020,2476919681,2495323592,2515521784,2644170346,2797761538,3072753500,3447082898,FL
St. Petersburg,1782832507,1611039172,1549131372,1511822952,1553220083,1609572738,1706263105,1809720357,FL
Tampa,2158280974,2032772923,2016261196,2024104390,2136448576,2280019199,2511652051,2796254199,FL
Atlanta,4307855626,4274852749,4232813527,4353220453,4464134346,4756497929,5260719984,6072257475,GA
Boise,1308068807,1300466537,1266601648,1226029073,1243929614,1299203750,1420642613,1624056982,ID
Chicago,6498993791,6246524674,6146778331,6242132252,6294254186,6580446596,7064306227,7767246075,IL
Fort Wayne,1402028685,1455532232,1463854182,1485697600,1480459800,1464609454,1454871500,1454491963,IN
Indianapolis,8379067161,6975602076,6593763723,6500311045,6537365936,6700323532,7147954041,7895705285,IN
Wichita,1797558476,1825746719,1791401475,1777805354,1784774792,1827640805,1977991145,2063402167,KS
Lexington-Fayette,1379507182,1310298941,1290761029,1338342382,1389219248,1474885552,1586191025,1733726680,KY
Louisville/Jefferson County,2974339680,2898756302,2788773170,2809908731,2874771961,3014228257,3247839134,3636615109,KY
Baton Rouge,1885288962,1819968003,1709732746,1687415615,1632500895,1628949072,1655431879,1688647710,LA
New Orleans,1724516503,1660795673,1550246754,1556659425,1533226956,1568911528,1650375977,1767381337,LA
Baltimore,2200428825,2120138253,2156947420,2112500200,2170031056,2178375021,2199715793,2224812908,MD
Boston,2187711552,2133819309,2108292589,2147319165,2111911815,2149271812,2219167768,2173447676,MA
Detroit,3780614717,3660011741,3641785962,3671604313,3653895984,3702213949,3889183429,4137499905,MI
Minneapolis,1741884265,1688675900,1658229969,1633740385,1663238978,1750580646,1978859764,2253418969,MN
St. Paul,1546017710,1489845499,1433624530,1381323436,1381609443,1429336392,1593071752,1797682457,MN
Kansas City,4167347523,4049773492,3930604400,3970686056,4067519619,4287399221,4652450222,5004698086,MO
St. Louis,1846304756,1738741709,1662316190,1655975885,1663418400,1715664156,1806725469,1885315025,MO
Omaha,2255761867,2207499677,2150541586,2154055307,2253297293,2473746040,2988734756,3679695636,NE
Lincoln,1103100703,1104955920,1096668042,1099213090,1109865517,1134497738,1220485546,1281916040,NE
Henderson,1440910895,1412335735,1407332625,1494812300,1472910254,1561635551,1728757987,1929508879,NV
Las Vegas,3115050384,3084073905,3087120706,3264836949,3152994381,3216311460,3342559661,3430582257,NV
North Las Vegas,1444448354,1421068781,1418415634,1492238938,1427174164,1438699280,1473945439,1491603252,NV
Reno,1331887442,1251136379,1244687546,1335822698,1331830682,1426700078,1585450761,1768941990,NV
Newark,2492069459,2452665549,2419084782,2428847302,2397547705,2437441594,2579456207,2676408790,NJ
Jersey City,2008694866,1968615464,1947442031,1962676328,1934420930,1960614620,2063846892,2123988156,NJ
Albuquerque,2362577127,2393419167,2563434913,2706030327,2796440938,2891786570,3124306844,3278206276,NM
Buffalo,739681292.4,715678123.4,690766207,678020368.1,681978798.7,707534897.4,775890492.2,820354801.3,NY
New York,11456907234,10257208665,9592849785,9491282013,9690876443,10296652342,11710191251,13045318473,NY
Cincinnati,2027177604,2026800292,2044524768,2027361460,2117089336,2149692940,2247513829,2302711560,OH
Cleveland,2231927364,2198859116,2170434067,2098225060,2184479493,2245459865,2434972195,2598501380,OH
Columbus,5225245330,5215133100,5248265148,5189874111,5523475692,5802862628,6420225111,6982021567,OH
Toledo,1357024072,1288370757,1267061478,1231844538,1277050701,1303280841,1378699865,1415043583,OH
Oklahoma City,4627389922,4656026622,4629890550,4468571599,4598376357,4745944459,5191080199,5502248857,OK
Tulsa,2829610907,2834916522,2859145427,2824197332,2999411436,3200424501,3599481452,3894243556,OK
Portland,2750186639,2650050164,2599693959,2549832404,2625946783,2761602741,3091609532,3334789601,OR
Philadelphia,4747345306,4412134459,4117554213,3858296343,3788291397,3816409960,4063583481,4371506378,PA
Pittsburgh,1440966521,1323305316,1241620396,1181686372,1209005988,1276740131,1433693016,1662287229,PA
Memphis,4086428489,3981184473,3930217226,4015631072,4090628012,4264723618,4552107663,4869137358,TN
Nashville-Davidson,4645679428,4655366698,4662433893,4814036407,4973587464,5281347599,5807575173,6489365299,TN
Arlington,1609801653,1575455855,1581865315,1601465647,1692172742,1786408104,1946906512,2092361719,TX
Austin,5253976568,5355130417,5575888644,5807052011,6190819337,6508764301,6973214214,7268348480,TX
Corpus Christi,1689497089,1644259765,1699458375,1777720478,1906682911,2021919856,2189136939,2344118153,TX
Dallas,10406501241,10131083263,10130921187,10261194702,10926818796,11712691935,13095931526,14611198780,TX
El Paso,2834504246,2825106038,2852816602,2891678255,3053842843,3212716529,3479132165,3689609930,TX
Fort Worth,7196690480,7038765278,7023779632,7077695508,7475414304,7912817594,8682856931,9418969698,TX
Garland,1075865717,1048561541,1051251600,1064582079,1125226278,1189167522,1301083306,1415465171,TX
Houston,20375849164,19716976508,19485272874,19576271142,20903233759,22550463475,25434333160,28628856083,TX
Irving,3017545522,2931087730,2923699071,2946619032,3110865159,3292674168,3619266295,3958987315,TX
Laredo,850301641.6,891030690.1,975940633.5,1061470004,1122309019,1123203100,1084155291,973338787.1,TX
Lubbock,1125728098,1100214655,1096904009,1102267249,1155565452,1203630461,1282043850,1333452457,TX
Plano,1239317275,1286483348,1389599662,1514186492,1702264435,1900569461,2166274256,2404391555,TX
San Antonio,8138719932,8132582195,8205115690,8344792708,8901721387,9528899945,10607865698,11755114161,TX
Chesapeake,1224599306,1119480404,1102294842,1105417378,1137811054,1220225938,1369671988,1539116397,VA
Norfolk,1579977295,1451804517,1400068345,1367347330,1378040791,1454865721,1626450049,1837526773,VA
Richmond,1342047604,1270741065,1250544461,1241224436,1251715207,1304950601,1431630702,1591291532,VA
Virginia Beach,1861075483,1753984443,1695772057,1634109608,1578932074,1554986968,1583660230,1604975863,VA
Seattle,2007630701,1996869840,2008343911,1983806637,2041851216,2116980268,2272608955,2504664188,WA
Spokane,891647157.4,890021200.3,897569757.5,883875153.6,899805309.6,909420384.7,931222811.1,959041377.5,WA
Madison,1391188411,1350194271,1366348932,1374743931,1417041184,1469815113,1592258213,1689056469,WI
Milwaukee,2302369654,2061477026,1947951923,1878997502,1951419872,2101911521,2426743463,2795060275,WI
Charlotte,4178810089,3989790142,3861924043,3907028988,4022205505,4279727834,4758825498,5325615709,NC
Durham,1785687186,1725170892,1670457611,1677254989,1711884588,1796764681,1963036204,2152006491,NC
Greensboro,2023724051,1966551111,1873606262,1852041142,1879035249,1971516703,2172491366,2426070387,NC
Raleigh,2850672251,2783896039,2725547025,2759709780,2825658059,2969309863,3246209431,3543695614,NC
Winston-Salem,1372697270,1216911621,1137749411,1129892651,1181091151,1295055660,1491814333,1738105406,NC
