City,Area,Year,PersonPerSqMile,EmissionPerPerson
New York,302,2010,27070,1401
Los Angeles,469,2010,8087,4306
Chicago,227,2010,11875,2411
Houston,638,2010,3291,9705
Phoenix,518,2010,2791,5398
Philadelphia,134,2010,11388,3111
San Antonio,461,2010,2879,6131
San Diego,325,2010,4023,4961
Dallas,341,2010,3513,8688
San Jose,178,2010,5314,4702
Austin,313,2010,2525,6647
Jacksonville,747,2010,1100,6313
Fort Worth,343,2010,2161,9709
Columbus,219,2010,3594,6639
Charlotte,305,2010,2398,5713
San Francisco,47,2010,17133,2051
Indianapolis,362,2010,2266,10213
Seattle,84,2010,7246,3298
Denver,153,2010,3923,7193
Washington,61,2010,9864,2829
Boston,48,2010,12867,3542
El Paso,257,2010,2526,4367
Nashville-Davidson,476,2010,1263,7727
Detroit,139,2010,5135,5297
Oklahoma City,606,2010,957,7978
Portland,134,2010,4357,4711
Las Vegas,134,2010,4356,5336
Memphis,317,2010,2041,6317
Louisville/Jefferson County,264,2010,2263,4979
Baltimore,81,2010,7666,3544
Milwaukee,96,2010,6196,3871
Albuquerque,188,2010,2903,4328
Tucson,231,2010,2252,4379
Fresno,114,2010,4339,3730
Mesa,138,2010,3181,5432
Sacramento,98,2010,4760,7978
Atlanta,134,2010,3134,10257
Kansas City,315,2010,1460,9064
Colorado Springs,196,2010,2125,4054
Omaha,133,2010,3075,5516
Raleigh,154,2010,2623,7058
Miami,36,2010,11096,5852
Long Beach,50,2010,9245,5252
Virginia Beach,245,2010,1788,4249
Oakland,56,2010,6977,4950
Minneapolis,54,2010,7085,4553
Tulsa,197,2010,1989,7220
Tampa,113,2010,2971,6429
Arlington,96,2010,3807,4405
New Orleans,169,2010,2034,5016
Wichita,160,2010,2390,4701
Bakersfield,149,2010,2332,5296
Cleveland,78,2010,5087,5625
Aurora,153,2010,2125,5322
Anaheim,50,2010,6725,5853
Santa Ana,27,2010,12020,5729
Riverside,81,2010,3751,3672
Corpus Christi,175,2010,1744,5535
Lexington-Fayette,284,2010,1042,4664
Henderson,105,2010,2455,5591
Stockton,62,2010,4705,4201
St. Paul,62,2010,4598,5423
Cincinnati,77,2010,3856,6827
St. Louis,62,2010,5150,5782
Pittsburgh,55,2010,5558,4714
Greensboro,128,2010,2107,7505
Lincoln,92,2010,2808,4269
Plano,72,2010,3609,4770
Orlando,105,2010,2270,10421
Irvine,66,2010,3218,12585
Newark,24,2010,11548,8992
Durham,110,2010,2076,7821
Chula Vista,50,2010,4878,4488
Toledo,81,2010,3546,4725
Fort Wayne,111,2010,2286,5527
St. Petersburg,62,2010,3948,7284
Laredo,101,2010,2338,3602
Jersey City,15,2010,16506,8113
Chandler,65,2010,3633,4701
Madison,77,2010,3029,5965
Lubbock,125,2010,1837,4904
Scottsdale,184,2010,1181,3428
Reno,107,2010,2105,5914
Buffalo,40,2010,6533,2831
Gilbert town,68,2010,3065,2343
Glendale,59,2010,3843,3284
North Las Vegas,98,2010,2214,6658
Winston-Salem,133,2010,1726,5978
Chesapeake,339,2010,655,5511
Norfolk,53,2010,4581,6507
Fremont,78,2010,2745,8043
Garland,57,2010,3980,4742
Irving,67,2010,3228,13951
Hialeah,22,2010,10212,4781
Richmond,60,2010,3404,6572
Boise,82,2010,2508,6360
Spokane,69,2010,3028,4268
Baton Rouge,86,2010,2669,8215
New York,302,2011,27394,1240
Los Angeles,469,2011,8147,3920
Chicago,227,2011,11930,2307
Houston,638,2011,3332,9274
Phoenix,518,2011,2837,5288
Philadelphia,134,2011,11496,2864
San Antonio,461,2011,2944,5993
San Diego,325,2011,4060,4758
Dallas,341,2011,3573,8316
San Jose,178,2011,5452,4808
Austin,313,2011,2647,6464
Jacksonville,747,2011,1111,6228
Fort Worth,343,2011,2228,9211
Columbus,219,2011,3656,6514
Charlotte,305,2011,2475,5286
San Francisco,47,2011,17354,2319
Indianapolis,362,2011,2286,8428
Seattle,84,2011,7413,3207
Denver,153,2011,4056,6613
Washington,61,2011,10161,2641
Boston,48,2011,13136,3384
El Paso,257,2011,2585,4252
Nashville-Davidson,476,2011,1287,7600
Detroit,139,2011,5073,5191
Oklahoma City,606,2011,975,7879
Portland,134,2011,4444,4450
Las Vegas,134,2011,4378,5257
Memphis,317,2011,2067,6075
Louisville/Jefferson County,264,2011,2272,4832
Baltimore,81,2011,7659,3417
Milwaukee,96,2011,6220,3453
Albuquerque,188,2011,2937,4335
Tucson,231,2011,2297,4263
Fresno,114,2011,4399,3530
Mesa,138,2011,3244,5251
Sacramento,98,2011,4805,8146
Atlanta,134,2011,3267,9764
Kansas City,315,2011,1468,8759
Colorado Springs,196,2011,2181,3804
Omaha,133,2011,3474,4777
Raleigh,154,2011,2688,6725
Miami,36,2011,11294,5584
Long Beach,50,2011,9290,4840
Virginia Beach,245,2011,1806,3963
Oakland,56,2011,7073,5566
Minneapolis,54,2011,7186,4352
Tulsa,197,2011,1995,7213
Tampa,113,2011,3032,5934
Arlington,96,2011,3857,4255
New Orleans,169,2011,2135,4604
Wichita,160,2011,2399,4757
Bakersfield,149,2011,2371,5651
Cleveland,78,2011,5034,5600
Aurora,153,2011,2175,4923
Anaheim,50,2011,6797,5561
Santa Ana,27,2011,12157,5607
Riverside,81,2011,3821,3528
Corpus Christi,175,2011,1761,5337
Lexington-Fayette,284,2011,1062,4343
Henderson,105,2011,2464,5458
Stockton,62,2011,4764,4233
St. Paul,62,2011,4659,5157
Cincinnati,77,2011,3847,6843
St. Louis,62,2011,5151,5445
Pittsburgh,55,2011,5564,4324
Greensboro,128,2011,2128,7219
Lincoln,92,2011,2855,4206
Plano,72,2011,3709,4818
Orlando,105,2011,2320,10167
Irvine,66,2011,3338,11877
Newark,24,2011,11566,8836
Durham,110,2011,2139,7331
Chula Vista,50,2011,4966,4216
Toledo,81,2011,3524,4514
Fort Wayne,111,2011,2309,5679
St. Petersburg,62,2011,3966,6552
Laredo,101,2011,2388,3694
Jersey City,15,2011,16858,7785
Chandler,65,2011,3644,4639
Madison,77,2011,3077,5699
Lubbock,125,2011,1871,4703
Scottsdale,184,2011,1200,3262
Reno,107,2011,2122,5510
Buffalo,40,2011,6518,2745
Gilbert town,68,2011,3110,2269
Glendale,59,2011,3887,3210
North Las Vegas,98,2011,2227,6510
Winston-Salem,133,2011,1743,5248
Chesapeake,339,2011,665,4967
Norfolk,53,2011,4597,5958
Fremont,78,2011,2787,8759
Garland,57,2011,4036,4558
Irving,67,2011,3281,13332
Hialeah,22,2011,10369,4594
Richmond,60,2011,3440,6157
Boise,82,2011,2593,6116
Spokane,69,2011,3030,4258
Baton Rouge,86,2011,2659,7960
New York,302,2012,27638,1149
Los Angeles,469,2012,8212,3670
Chicago,227,2012,11979,2261
Houston,638,2012,3388,9014
Phoenix,518,2012,2894,5062
Philadelphia,134,2012,11581,2653
San Antonio,461,2012,3000,5933
San Diego,325,2012,4113,4635
Dallas,341,2012,3643,8156
San Jose,178,2012,5525,4864
Austin,313,2012,2730,6525
Jacksonville,747,2012,1120,6143
Fort Worth,343,2012,2277,8993
Columbus,219,2012,3711,6457
Charlotte,305,2012,2535,4994
San Francisco,47,2012,17636,2439
Indianapolis,362,2012,2308,7892
Seattle,84,2012,7571,3158
Denver,153,2012,4151,6274
Washington,61,2012,10409,2583
Boston,48,2012,13395,3279
El Paso,257,2012,2626,4227
Nashville-Davidson,476,2012,1314,7453
Detroit,139,2012,5037,5201
Oklahoma City,606,2012,992,7704
