City,Area,personpersqmile2010,personpersqmile2011,personpersqmile2012,personpersqmile2013,personpersqmile2014,personpersqmile2015,personpersqmile2016,personpersqmile2017,emissionperperson2010,emissionperperson2011,emissionperperson2012,emissionperperson2013,emissionperperson2014,emissionperperson2015,emissionperperson2016,emissionperperson2017
New York,302,27070,27394,27638,27802,27927,28023,28044,27939,1401,1240,1149,1130,1149,1217,1383,1546
Los Angeles,469,8087,8147,8212,8276,8337,8398,8450,8477,4306,3920,3670,3507,3699,3934,4372,4799
Chicago,227,11875,11930,11979,12008,12014,12002,11968,11943,2411,2307,2261,2290,2308,2415,2600,2865
Houston,638,3291,3332,3388,3447,3514,3584,3620,3631,9705,9274,9014,8901,9324,9861,11013,12357
Phoenix,518,2791,2837,2894,2947,3003,3057,3112,3154,5398,5288,5062,4846,4786,4876,5300,6024
Philadelphia,134,11388,11496,11581,11629,11683,11724,11762,11796,3111,2864,2653,2476,2420,2429,2578,2766
San Antonio,461,2879,2944,3000,3055,3114,3176,3227,3278,6131,5993,5933,5925,6201,6509,7130,7779
San Diego,325,4023,4060,4113,4170,4233,4269,4314,4347,4961,4758,4635,4545,4777,5061,5559,5989
Dallas,341,3513,3573,3643,3692,3751,3816,3882,3937,8688,8316,8156,8151,8543,9001,9892,10884
San Jose,178,5314,5452,5525,5625,5698,5764,5788,5800,4702,4808,4864,4726,4585,4293,4095,3734
Austin,313,2525,2647,2730,2796,2879,2943,3001,3040,6647,6464,6525,6637,6870,7066,7423,7638
Jacksonville,747,1100,1111,1120,1128,1141,1159,1179,1194,6313,6228,6143,6051,6164,6257,6551,7020
Fort Worth,343,2161,2228,2277,2321,2376,2435,2496,2550,9709,9211,8993,8891,9172,9472,10141,10767
Columbus,219,3594,3656,3711,3780,3843,3904,3958,4026,6639,6514,6457,6270,6562,6787,7406,7919
Charlotte,305,2398,2475,2535,2597,2647,2707,2764,2820,5713,5286,4994,4933,4982,5183,5644,6193
San Francisco,47,17133,17354,17636,17863,18101,18362,18543,18682,2051,2319,2439,2442,2352,2122,1889,1579
Indianapolis,362,2266,2286,2308,2333,2349,2358,2373,2385,10213,8428,7892,7695,7690,7848,8321,9144
Seattle,84,7246,7413,7571,7781,7977,8183,8448,8675,3298,3207,3158,3035,3047,3080,3203,3437
Denver,153,3923,4056,4151,4244,4344,4466,4550,4608,7193,6613,6274,6094,6099,6245,6896,7624
Washington,61,9864,10161,10409,10665,10858,11072,11243,11392,2829,2641,2583,2390,2500,2478,2502,2554
Boston,48,12867,13136,13395,13604,13809,13969,14164,14329,3542,3384,3279,3288,3186,3206,3264,3160
El Paso,257,2526,2585,2626,2626,2635,2631,2646,2651,4367,4252,4227,4285,4509,4751,5117,5415
Nashville-Davidson,476,1263,1287,1314,1336,1356,1377,1390,1394,7727,7600,7453,7569,7708,8057,8776,9779
Detroit,139,5135,5073,5037,4977,4911,4888,4872,4853,5297,5191,5201,5307,5353,5449,5744,6133
Oklahoma City,606,957,975,992,1010,1026,1043,1056,1061,7978,7879,7704,7301,7397,7507,8112,8560
Portland,134,4357,4444,4509,4551,4631,4712,4796,4835,4711,4450,4302,4181,4232,4374,4810,5147
Las Vegas,134,4356,4378,4427,4474,4537,4608,4676,4741,5336,5257,5204,5445,5186,5209,5335,5400
Memphis,317,2041,2067,2078,2073,2066,2063,2059,2053,6317,6075,5966,6111,6245,6520,6976,7481
Louisville/Jefferson County,264,2263,2272,2289,2312,2321,2331,2339,2347,4979,4832,4615,4603,4692,4898,5259,5868
Baltimore,81,7666,7659,7690,7684,7699,7685,7608,7537,3544,3417,3463,3394,3480,3499,3570,3644
Milwaukee,96,6196,6220,6235,6249,6257,6255,6219,6185,3871,3453,3254,3132,3249,3500,4065,4708
Albuquerque,188,2903,2937,2952,2965,2965,2968,2974,2977,4328,4335,4619,4854,5017,5183,5587,5857
Tucson,231,2252,2297,2303,2307,2315,2319,2327,2344,4379,4263,4246,4222,4234,4270,4403,4552
Fresno,114,4339,4399,4433,4464,4510,4546,4574,4609,3730,3530,3345,3146,3136,3119,3233,3278
Mesa,138,3181,3244,3311,3368,3428,3491,3556,3623,5432,5251,5313,5458,5638,5860,6208,6602
Sacramento,98,4760,4805,4839,4880,4926,4981,5042,5110,7978,8146,8118,7958,8124,8097,8202,7987
Atlanta,134,3134,3267,3351,3388,3441,3495,3576,3669,10257,9764,9427,9589,9680,10157,10979,12350
Kansas City,315,1460,1468,1475,1483,1494,1508,1529,1550,9064,8759,8460,8499,8643,9025,9659,10249
Colorado Springs,196,2125,2181,2208,2235,2257,2294,2340,2373,4054,3804,3742,3753,3842,3969,4285,4545
Omaha,133,3075,3474,3498,3519,3537,3554,3572,3581,5516,4777,4622,4602,4790,5234,6291,7726
Raleigh,154,2623,2688,2749,2801,2854,2919,2984,3025,7058,6725,6439,6397,6429,6605,7065,7608
Miami,36,11096,11294,11421,11546,11809,12076,12476,12684,5852,5584,5425,5286,5354,5494,5819,6382
Long Beach,50,9245,9290,9337,9360,9382,9403,9374,9333,5252,4840,4564,4389,4635,4932,5509,6064
Virginia Beach,245,1788,1806,1817,1827,1832,1838,1841,1836,4249,3963,3810,3650,3518,3453,3512,3567
Oakland,56,6977,7073,7163,7262,7373,7468,7517,7578,4950,5566,5924,5999,5899,5522,5224,4764
Minneapolis,54,7085,7186,7273,7409,7538,7612,7687,7795,4553,4352,4222,4084,4086,4259,4767,5353
Tulsa,197,1989,1995,2003,2022,2030,2048,2051,2041,7220,7213,7245,7089,7501,7932,8909,9686
Tampa,113,2971,3032,3080,3143,3209,3287,3366,3460,6429,5934,5792,5699,5891,6138,6604,7151
Arlington,96,3807,3857,3913,3947,3987,4049,4108,4137,4405,4255,4211,4226,4421,4596,4937,5268
New Orleans,169,2034,2135,2188,2240,2272,2306,2319,2317,5016,4604,4192,4111,3993,4026,4212,4514
Wichita,160,2390,2399,2411,2420,2428,2434,2441,2439,4701,4757,4644,4591,4595,4693,5065,5287
Bakersfield,149,2332,2371,2398,2435,2463,2492,2515,2537,5296,5651,5909,6014,6241,6158,5948,5360
Cleveland,78,5087,5034,5020,5023,5011,4990,4970,4939,5625,5600,5543,5355,5589,5769,6281,6745
Aurora,153,2125,2175,2217,2259,2305,2354,2374,2402,5322,4923,4716,4622,4616,4689,5082,5410
Anaheim,50,6725,6797,6841,6877,6892,6965,7000,7010,5853,5561,5329,5102,5222,5284,5581,5764
Santa Ana,27,12020,12157,12243,12360,12349,12349,12362,12320,5729,5607,5426,5188,5301,5382,5664,5814
Riverside,81,3751,3821,3856,3895,3922,3957,3996,4036,3672,3528,3426,3367,3659,3964,4427,4839
Corpus Christi,175,1744,1761,1785,1812,1833,1855,1862,1860,5535,5337,5440,5607,5944,6228,6720,7200
Lexington-Fayette,284,1042,1062,1077,1091,1098,1112,1126,1134,4664,4343,4219,4319,4456,4670,4962,5385
Henderson,105,2455,2464,2507,2555,2612,2687,2757,2851,5591,5458,5345,5572,5371,5534,5972,6446
