City,Area,population2010,population2011,population2012,population2013,population2014,population2015,population2016,population2017,personpersqmile2010,personpersqmile2011,personpersqmile2012,personpersqmile2013,personpersqmile2014,personpersqmile2015,personpersqmile2016,personpersqmile2017,emissionperperson2010,emissionperperson2011,emissionperperson2012,emissionperperson2013,emissionperperson2014,emissionperperson2015,emissionperperson2016,emissionperperson2017,cleanEPP2010,cleanEPP2011,cleanEPP2012,cleanEPP2013,cleanEPP2014,cleanEPP2015,cleanEPP2016,cleanEPP2017
New York,302,8175133,8272948,8346693,8396091,8433806,8463049,8469153,8437478,27070,27394,27638,27802,27927,28023,28044,27939,1401.433742,1239.849285,1149.299463,1130.440584,1149.051382,1216.659899,1382.687413,1546.11585,1401,1240,1149,1130,1149,1217,1383,1546
Los Angeles,469,3792621,3820876,3851202,3881622,3909901,3938568,3963226,3975788,8087,8147,8212,8276,8337,8398,8450,8477,4306.243992,3920.019545,3670.120112,3506.756192,3698.956113,3934.042306,4372.269742,4798.73547,4306,3920,3670,3507,3699,3934,4372,4799
Chicago,227,2695598,2708114,2719141,2725731,2727066,2724344,2716723,2711069,11875,11930,11979,12008,12014,12002,11968,11943,2410.965504,2306.595909,2260.558879,2290.076406,2308.068153,2415.424262,2600.3042,2865.012316,2411,2307,2261,2290,2308,2415,2600,2865
Houston,638,2099451,2126032,2161593,2199391,2241826,2286908,2309544,2316750,3291,3332,3388,3447,3514,3584,3620,3631,9705.322565,9274.073254,9014.311609,8900.768959,9324.199897,9860.678031,11012.70777,12357.3351,9705,9274,9014,8901,9324,9861,11013,12357
Phoenix,518,1445632,1469796,1499274,1526491,1555445,1583690,1612199,1633560,2791,2837,2894,2947,3003,3057,3112,3154,5397.504247,5287.831209,5061.8754,4845.543125,4786.404144,4876.204162,5299.605499,6023.543388,5398,5288,5062,4846,4786,4876,5300,6024
Philadelphia,134,1526006,1540466,1551824,1558313,1565460,1571065,1576051,1580601,11388,11496,11581,11629,11683,11724,11762,11796,3110.961101,2864.15569,2653.364179,2475.944398,2419.922193,2429.186545,2578.332478,2765.724163,3111,2864,2653,2476,2420,2429,2578,2766
San Antonio,461,1327407,1357120,1383075,1408339,1435456,1464043,1487843,1511154,2879,2944,3000,3055,3114,3176,3227,3278,6131.292009,5992.529913,5932.516812,5925.272756,6201.319572,6508.620269,7129.694261,7778.898882,6131,5993,5933,5925,6201,6509,7130,7779
San Diego,325,1307402,1319592,1336776,1355320,1375831,1387323,1402089,1412621,4023,4060,4113,4170,4233,4269,4314,4347,4960.564599,4757.809982,4634.900239,4544.954617,4776.731032,5060.85888,5559.452101,5988.906061,4961,4758,4635,4545,4777,5061,5559,5989
Dallas,341,1197816,1218282,1242115,1258835,1279098,1301329,1323916,1342479,3513,3573,3643,3692,3751,3816,3882,3937,8687.896339,8315.877,8156.186172,8151.342076,8542.597046,9000.561683,9891.814531,10883.74476,8688,8316,8156,8151,8543,9001,9892,10884
San Jose,178,945942,970369,983530,1001279,1014273,1025980,1030242,1032335,5314,5452,5525,5625,5698,5764,5788,5800,4701.596328,4807.900546,4864.043324,4726.383013,4584.972697,4292.920717,4094.989483,3734.380858,4702,4808,4864,4726,4585,4293,4095,3734
