"City, State",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"New York City , New York","8,175,133","8,272,948","8,346,693","8,396,091","8,433,806","8,463,049","8,469,153","8,437,478","8,390,081","8,336,817"
"Los Angeles , California","3,792,621","3,820,876","3,851,202","3,881,622","3,909,901","3,938,568","3,963,226","3,975,788","3,977,596","3,979,576"
"Chicago , Illinois","2,695,598","2,708,114","2,719,141","2,725,731","2,727,066","2,724,344","2,716,723","2,711,069","2,701,423","2,693,976"
"Houston , Texas","2,099,451","2,126,032","2,161,593","2,199,391","2,241,826","2,286,908","2,309,544","2,316,750","2,318,573","2,320,268"
"Phoenix , Arizona","1,445,632","1,469,796","1,499,274","1,526,491","1,555,445","1,583,690","1,612,199","1,633,560","1,654,675","1,680,992"
"Philadelphia , Pennsylvania","1,526,006","1,540,466","1,551,824","1,558,313","1,565,460","1,571,065","1,576,051","1,580,601","1,583,592","1,584,064"
"San Antonio , Texas","1,327,407","1,357,120","1,383,075","1,408,339","1,435,456","1,464,043","1,487,843","1,511,154","1,530,016","1,547,253"
"San Diego , California","1,307,402","1,319,592","1,336,776","1,355,320","1,375,831","1,387,323","1,402,089","1,412,621","1,421,917","1,423,851"
"Dallas , Texas","1,197,816","1,218,282","1,242,115","1,258,835","1,279,098","1,301,329","1,323,916","1,342,479","1,341,802","1,343,573"
"San Jose , California","945,942","970,369","983,530","1,001,279","1,014,273","1,025,980","1,030,242","1,032,335","1,028,020","1,021,795"
"Austin , Texas","790,390","828,459","854,482","875,003","901,170","921,114","939,447","951,553","962,469","978,908"
"Jacksonville , Florida","821,784","829,609","837,013","842,735","852,494","865,836","880,520","892,025","902,437","911,507"
"Fort Worth , Texas","741,206","764,142","781,046","796,073","815,057","835,356","856,177","874,809","893,216","909,585"
"Columbus , Ohio","787,033","800,607","812,740","827,797","841,673","854,950","866,894","881,694","890,869","898,553"
"Charlotte , North Carolina","731,424","754,829","773,264","792,047","807,400","825,668","843,117","860,002","872,514","885,708"
"San Francisco , California","805,235","815,650","828,876","839,572","850,750","863,010","871,512","878,040","880,696","881,549"
"Indianapolis  (balance), Indiana","820,445","827,664","835,499","844,696","850,164","853,714","859,049","863,478","870,960","876,384"
"Seattle , Washington","608,660","622,694","635,928","653,588","670,109","687,386","709,631","728,661","742,235","753,675"
"Denver , Colorado","600,158","620,530","635,163","649,391","664,582","683,285","696,159","704,961","716,265","727,211"
"Washington , District of Columbia","601,723","619,800","634,924","650,581","662,328","675,400","685,815","694,906","701,547","705,749"
